time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-08-02T01:51:00-04:00,2180,2180.4,2178.9,2179.4,2190.346874,2195.840782,2184.852966,2195.9,2198.1,2182.05776,NaN,NaN,2187.384762
2024-08-02T01:52:00-04:00,2179.1,2179.7,2178.9,2179.7,2190.286012,2195.824533,2184.74749,2195.9,2198.1,2181.586208,NaN,NaN,2187.282857
2024-08-02T01:53:00-04:00,2179.7,2179.9,2179.4,2179.4,2190.251514,2195.814346,2184.688682,2195.9,2198.1,2181.148966,NaN,NaN,2187.180952
2024-08-02T01:54:00-04:00,2179.3,2179.7,2179.1,2179.6,2190.221622,2195.805601,2184.637643,2195.9,2198.1,2180.839173,NaN,NaN,2187.08
2024-08-02T01:55:00-04:00,2179.8,2180.7,2179.8,2180.7,2190.203031,2195.798033,2184.608029,2195.9,2198.1,2180.811339,NaN,NaN,2186.994286
2024-08-02T01:56:00-04:00,2180.9,2181.1,2180.3,2180.4,2190.154341,2195.776665,2184.532017,2195.9,2198.1,2180.729071,NaN,NaN,2186.906667
2024-08-02T01:57:00-04:00,2180.6,2181.4,2180.6,2180.9,2190.138397,2195.768842,2184.507953,2195.9,2198.1,2180.763257,NaN,NaN,2186.828571
2024-08-02T01:58:00-04:00,2181,2181.2,2180.7,2180.7,2190.123003,2195.761422,2184.484585,2195.9,2198.1,2180.750605,NaN,NaN,2186.750476
2024-08-02T01:59:00-04:00,2180.7,2182.3,2180.4,2181.7,2190.067745,2195.730262,2184.405228,2195.9,2198.1,2180.940484,NaN,NaN,2186.678095
2024-08-02T02:00:00-04:00,2181.9,2182,2180.5,2181.5,2190.029075,2195.708723,2184.349427,2195.9,2198.1,2181.052387,NaN,NaN,2186.607619
2024-08-02T02:01:00-04:00,2181.8,2183.1,2181.8,2183.1,2190.018051,2195.700581,2184.335521,2195.9,2198.1,2181.46191,NaN,NaN,2186.549524
2024-08-02T02:02:00-04:00,2182.8,2183.1,2181.2,2181.7,2189.984462,2195.678675,2184.290249,2195.9,2198.1,2181.509528,NaN,NaN,2186.478095
