time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-07-24T11:15:00-04:00,2251.8,2254.2,2248.2,2248.4,2253.297727,2260.408839,2246.186615,2262.8,2262,2249.91432,NaN,NaN,2252.942857
2024-07-24T11:20:00-04:00,2248.5,2249.2,2244.8,2247.1,2253.193337,2260.287227,2246.099448,2262.8,2262,2248.070452,NaN,NaN,2252.172381
2024-07-24T11:25:00-04:00,2247.3,2253.9,2246.9,2253,2253.164954,2260.199576,2246.130331,2262.8,2262,2250.998638,NaN,NaN,2251.473333
2024-07-24T11:30:00-04:00,2253,2256.6,2252.1,2256.3,2253.189622,2260.172898,2246.206346,2262.8,2262,2253.898146,NaN,NaN,2251.197143
2024-07-24T11:35:00-04:00,2256.2,2258.9,2254.9,2257.4,2253.242349,2260.19594,2246.288759,2262.8,2262,2256.25968,NaN,NaN,2251.498095
2024-07-24T11:40:00-04:00,2257.3,2261.2,2254.7,2260.6,2253.33637,2260.267277,2246.405464,2262.8,2262,2258.113188,NaN,NaN,2252.292381
2024-07-24T11:45:00-04:00,2260.4,2260.9,2254.1,2258,2253.390722,2260.294831,2246.486613,2262.8,2262,2257.518305,NaN,NaN,2252.66381
2024-07-24T11:50:00-04:00,2258,2260.1,2256.9,2257.3,2253.443523,2260.330371,2246.556674,2262.8,2262,2257.99451,NaN,NaN,2253.287619
2024-07-24T11:55:00-04:00,2257.5,2258.6,2255.8,2257.8,2253.471672,2260.339959,2246.603385,2262.8,2262,2257.449145,NaN,NaN,2254.005714
2024-07-24T12:00:00-04:00,2257.8,2260.3,2255.8,2256.2,2253.527008,2260.371925,2246.68209,2262.8,2262,2257.641512,NaN,NaN,2254.624762
2024-07-24T12:05:00-04:00,2256.1,2256.6,2250.9,2252,2253.523263,2260.305156,2246.74137,2262.8,2262,2254.301987,NaN,NaN,2254.839048
2024-07-24T12:10:00-04:00,2252,2256.9,2251.7,2256.7,2253.534089,2260.280002,2246.788175,2262.8,2262,2255.059819,NaN,NaN,2254.930476
2024-07-24T12:15:00-04:00,2256.8,2259.4,2255.4,2255.9,2253.586936,2260.309219,2246.864653,2262.8,2262,2256.753137,NaN,NaN,2254.928571
2024-07-24T12:20:00-04:00,2255.7,2259.1,2255.5,2258.2,2253.615655,2260.323278,2246.908033,2262.8,2262,2257.54106,NaN,NaN,2255.051429
2024-07-24T12:25:00-04:00,2258.2,2258.2,2254.7,2256.2,2253.631821,2260.322271,2246.941371,2262.8,2262,2256.642895,NaN,NaN,2255.132381
